datetime,uid,date,day_slot,is_randomized,avail,send,returned_message,response,activity,location,weather,temperature,jbsteps30pre,study_day,is_weekday
2015-07-22 16:30:00,1,2015-07-22,2,True,True,2,Hows your energy level this afternoon A 1015 minute walk can enliven your body,good,STILL,Restaurant,PartlyCloudy,temp_warm,0.0,1,True
2015-07-22 18:30:00,1,2015-07-22,3,True,True,1,Its almost the end of the workday How about a refreshing walk to help you power through the last few hours,good,STILL,Work,PartlyCloudy,temp_warm,418.0,1,True
2015-07-22 21:30:00,1,2015-07-22,4,False,True,0,donotnotify,no_send,STILL,Home,MostlyCloudy,temp_warm,261.0,1,True
2015-07-22 23:30:00,1,2015-07-22,5,True,True,2,Quick look at the clock If the minute ends in an odd number try to remain standing for the next 5 minutes,no_response,STILL,Home,PartlyCloudy,temp_warm,2913.0,1,True
2015-07-23 09:30:00,1,2015-07-23,1,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_cool,0.0,2,True
2015-07-23 16:30:00,1,2015-07-23,2,True,True,2,Hey you Have you been sitting for a while Can you take a 5 minute walking break,bad,STILL,Home,PartlyCloudy,temp_warm,1168.0,2,True
2015-07-23 18:30:00,1,2015-07-23,3,True,True,1,How about taking a few minutes to enjoy nature Head outside walk until you see a wild animal even if its just a squirrel,good,STILL,Home,PartlyCloudy,temp_warm,659.0,2,True
2015-07-23 21:30:00,1,2015-07-23,4,True,True,1,Its a lovely evening Why not embrace the calm with a walk outside,bad,STILL,Home,PartlyCloudy,temp_hot,2415.0,2,True
2015-07-23 23:30:00,1,2015-07-23,5,False,True,0,donotnotify,no_send,STILL,Home,PartlyCloudy,temp_warm,43.0,2,True
2015-07-24 09:30:00,1,2015-07-24,1,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_mild,0.0,3,True
2015-07-24 16:30:00,1,2015-07-24,2,True,True,2,Pamper your body a bit Try standing up and stretching your legs arms and neck Feels good doesnt it,good,STILL,Home,Clear,temp_hot,470.0,3,True
2015-07-24 18:30:00,1,2015-07-24,3,True,True,2,Pamper your body a bit Try standing up and stretching your legs arms and neck Feels good doesnt it,good,STILL,Home,Clear,temp_hot,206.0,3,True
